feature,mean_abs_shap_value
num__thalach,1.6131325236231844
num__chol,1.228972866475866
cat__exang_1,1.1818683056823243
cat__thal_2,1.0389714017290925
cat__sex_1,1.0286533544723844
num__age,0.9992084315166366
cat__ca_1,0.9509720194731006
num__oldpeak,0.9096630593505408
cat__cp_2,0.8751592170451011
cat__ca_2,0.7705473873437395
cat__thal_3,0.6884005678722155
num__trestbps,0.5163274162350202
cat__slope_1,0.46309969206811796
cat__slope_2,0.3875750530121519
cat__restecg_1,0.2787530565063894
cat__cp_1,0.21192957870494827
cat__fbs_1,0.18253788567474452
cat__cp_3,0.0
cat__restecg_2,0.0
cat__ca_3,0.0
cat__thal_1,0.0
cat__ca_4,0.0
